기관명,주소,위도,경도,카테고리_대,카테고리_소
4대회춘당한의원,"서울특별시 성동구 행당로 107, 2층 (행당동)",37.55804819,127.0308702,병원,한의원
365서울연합의원,"서울특별시 중랑구 망우로 463, 2층 (망우동)",37.60066104,127.1036374,병원,의원
4월31일성형외과의원,"서울특별시 강남구 논현로 707, 4월 31일 빌딩 지하1층 일부, 2~3층 (논현동)",37.51509703,127.0298988,병원,의원
4월31일치과의원,서울특별시 강남구 강남대로 548  (논현동),37.51103462,127.0218871,병원,치과의원
815의원,"서울특별시 강남구 논현로 822, 로뎀빌딩 4,5,6층 (신사동)",37.52177869,127.0284471,병원,의원
광화문허브한의원,"서울특별시 중구 무교로 19, 더익스체인지서울몰 4층 (무교동)",37.56763336,126.9789871,병원,한의원
광혜안과의원,서울특별시 강남구 남부순환로 2912,37.4906822,127.0561141,병원,의원
81도치과교정과치과의원,"서울특별시 서초구 서초대로 286, 2층 202호 (서초동, 서초프라자)",37.49317412,127.0130368,병원,치과의원
88신경외과의원,"서울특별시 영등포구 도림로 144, 88월드타워 4층 (대림동)",37.49333597,126.8982128,병원,의원
김치과의원,"서울특별시 마포구 마포대로 68, 5층 505호 (도화동, 마포아크로타워)",37.54134215,126.9488974,병원,치과의원
88월드치과의원,"서울특별시 영등포구 도림로 144, 88월드타워 3층 (대림동)",37.49333597,126.8982128,병원,치과의원
효담한의원,서울특별시 성북구 동소문로8길 9-0 (동소문동3가),37.58942446,127.0098777,병원,한의원
김영명이비인후과의원,"서울특별시 성북구 화랑로11길 35, (하월곡동)",37.60386367,127.0421098,병원,의원
교대한의원,"서울특별시 서초구 서초중앙로20길 21, 202호호 (서초동, 우정빌딩)",37.49240422,127.015261,병원,한의원
국보한의원,서울특별시 광진구 아차산로36길 35 자양우성7차아파트 상가동 303호 (자양동),37.53707976,127.0741013,병원,한의원
구명진이비인후과의원,"서울특별시 서초구 신반포로19길 10, H동 13-2호 (반포동, 반포아파트상가)",37.50103881,126.9867401,병원,의원
88플러스내과산부인과의원,"서울특별시 노원구 동일로192길 74, 201,202호 (공릉동, 우은빌딩)",37.62706167,127.0771013,병원,의원
365아이디의원,"서울특별시 양천구 등촌로 2, 202호 (목동)",37.5303245,126.8643914,병원,의원
김석근한의원,"서울특별시 강남구 선릉로 707, 2층 (논현동)",37.5178027,127.0413871,병원,한의원
노명복정형외과의원,"서울특별시 광진구 긴고랑로 32, 지하1, 1, 3층 (중곡동)",37.56295425,127.0798011,병원,의원
88플러스내과의원,"서울특별시 강서구 방화동로 40, 2층 (공항동)",37.56405095,126.8112685,병원,의원
88흉부외과의원,"서울특별시 구로구 가마산로 246, 5층 (구로동)",37.49468863,126.8883151,병원,의원
8메디한의원,"서울특별시 서초구 서초중앙로 125, 4층 408호 (서초동, 로이어즈타워)",37.49300992,127.0134202,병원,한의원
365엠씨(mc)람스에스씨(SC)의원,"서울특별시 서초구 강남대로 437, 대원빌딩 3층 (서초동)",37.50136341,127.0255112,병원,의원
노원진마취통증의학과의원,"서울특별시 노원구 공릉로 105, 성종빌딩 2,3층 (공릉동)",37.61961324,127.0778853,병원,의원
90일의기적의원,"서울특별시 강남구 도산대로 509, 에스디바이오센서 4층 (청담동)",37.52475474,127.0489504,병원,의원
9988병원,서울특별시 성동구 왕십리로 269 (행당동),37.55860571,127.0374791,병원,병원
9치한의원,"서울특별시 서초구 효령로 279, 7층 (서초동)",37.48494033,127.0147665,병원,한의원
김동기치과의원,"서울특별시 금천구 시흥대로 220, (시흥동)",37.45355937,126.9014243,병원,치과의원
B&B치과의원,"서울특별시 송파구 양재대로 932, 청과물동 3층 (가락동, 가락농수산물시장)",37.49453769,127.1087136,병원,치과의원
BJ라임의원,"서울특별시 관악구 과천대로 939, 르메이에르강남타운2 (남현동)",37.47437717,126.9814302,병원,의원
누리꿈경희한의원,"서울특별시 마포구 월드컵북로54길 17, 303호 (상암동, 사보이시티DMC)",37.58132459,126.8885491,병원,한의원
BLS(비엘에스)의원,"서울특별시 강남구 도산대로67길 13-5, 1~3층 (청담동, 청담빌딩)",37.52493539,127.0439153,병원,의원
CBK성형외과의원,"서울특별시 강남구 봉은사로 209, 7층 (논현동)",37.50793228,127.0350129,병원,의원
CBK최영균치과의원,"서울특별시 노원구 동일로180길 14, 공릉쇼핑센타 3층 (공릉동)",37.62195341,127.0753261,병원,치과의원
CL성형외과의원,"서울특별시 노원구 동일로 1392, 5층 (상계동,노원한일빌딩)",37.65305379,127.0613245,병원,의원
CNP차앤박피부과의원,"서울특별시 영등포구 여의나루로 53-1, 4층 (여의도동, 대오빌딩)",37.52270192,126.9249939,병원,의원
그레이스미의원,"서울특별시 동대문구 전농로 36, 답십리포레스트스퀘어 2층 202호 (답십리동)",37.5680105,127.0574066,병원,의원
김영우신경정신과의원,서울특별시 강북구 도봉로 321,37.63693831,127.0240977,병원,의원
강남아산재활의학과의원,"서울특별시 강남구 개포로110길 43, 2층 (일원동, 개포한신아파트)",37.49111459,127.0804594,병원,의원
효림요양병원,서울특별시 동대문구 천호대로 259-1 (답십리동),37.56863236,127.0509447,병원,요양병원
김지수치과의원,서울특별시 영등포구 63로 45,37.52135273,126.9373261,병원,치과의원
김용훈정형외과의원,"서울특별시 강남구 언주로30길 10, 현대비전21 310호 (도곡동)",37.48733867,127.0515539,병원,의원
김화규치과의원,"서울특별시 중구 소공로 35, 307호 (회현동1가, 롯데캐슬아이리스 상가동)",37.55822471,126.9817445,병원,치과의원
D&A(디앤에이)성형외과의원,"서울특별시 강남구 압구정로 210, 융기빌딩,3층 일부 (신사동)",37.52774624,127.0301369,병원,의원
김용철외과의원,서울특별시 동작구 동작대로 51 (사당동),37.481188,126.9814896,병원,의원
DMC수색신경외과의원,"서울특별시 은평구 수색로 191, 두빌191 2층 (증산동)",37.57825092,126.9010724,병원,의원
김승만내과의원,"서울특별시 강북구 삼양로 294 (수유동, 김승만내과의원)",37.62967969,127.0180895,병원,의원
김재형치과의원,"서울특별시 송파구 올림픽로4길 17 (잠실동, 아시아선수촌A 중심상가 314호)",37.50865223,127.0765197,병원,치과의원
남삼극비뇨기과의원,서울특별시 동대문구 망우로 123 (휘경동),37.59171172,127.0665966,병원,의원
김정범치과의원,서울특별시 용산구 한남대로 57,37.53355331,127.0071559,병원,치과의원
DR.문이비인후과의원,서울특별시 관악구 은천로 105 (봉천동),37.48712401,126.9471318,병원,의원
글로리성형외과의원,"서울특별시 강남구 강남대로 616, 12층 (신사동, 신사미타워)",37.51685683,127.0197997,병원,의원
Dr.고신경정신과의원,"서울특별시 광진구 능동로 324, 3층 (중곡동)",37.55838922,127.0803897,병원,의원
Dr.서치과의원,서울특별시 송파구 양재대로 1148 (오금동),37.50968932,127.1273283,병원,치과의원
Dr홍연합의원,"서울특별시 송파구 토성로 78, 정민빌딩 203호 (풍납동)",37.52803382,127.11841,병원,의원
E&I 치과의원,"서울특별시 동대문구 고산자로 399, 4층 (용두동)",37.57527629,127.0377696,병원,치과의원
EB치과의원,서울특별시 동대문구 장한로 170 (장안동),37.57544869,127.0722825,병원,치과의원
김능원치과의원,서울특별시 영등포구 국제금융로8길 34,37.52020619,126.9272656,병원,치과의원
내일내과의원,"서울특별시 강북구 솔샘로 254 (미아동, 삼양아케이트)",37.6193297,127.020744,병원,의원
GSR(지에스알)재활의학과의원,"서울특별시 서초구 서초대로77길 5, 8층 (서초동)",37.49835169,127.0263948,병원,의원
LBO산치과의원,"서울특별시 중랑구 망우로 247, 로얄스포츠센터 2층 (중화동)",37.59532179,127.0795771,병원,치과의원
LBO의원,"서울특별시 중랑구 망우로 247, 2층 (중화동, 로얄스포츠센타)",37.59532179,127.0795771,병원,의원
노규식공부두뇌연구원,서울특별시 강남구 도곡로 409  (대치동),37.49736921,127.055167,병원,의원
MBS한의원,"서울특별시 중구 수표로 45, 9층 (저동2가, 비즈센터)",37.56533903,126.9895957,병원,한의원
NYU이문치과의원,"서울특별시 동대문구 이문로 125, 2층 (이문동)",37.59788505,127.0609121,병원,치과의원
김내과의원,서울특별시 금천구 독산로 174  (독산동),37.46281699,126.90436,병원,의원
나동규한의원,"서울특별시 강남구 선릉로 323 (역삼동, 샘클리닉 3층일부)",37.49836222,127.0515677,병원,한의원
다미한의원,서울특별시 관악구 장군봉1길 46 (봉천동),37.4815584,126.9425115,병원,한의원
NY치과의원,"서울특별시 관악구 난곡로 226, 3층 (신림동)",37.47451465,126.9172791,병원,치과의원
노보믹스의원,"서울특별시 영등포구 당산로 171, 금강 펜테리움 IT타워 2층 207호 (당산동4가)",37.52997196,126.8980983,병원,의원
OK부부치과의원,"서울특별시 은평구 통일로 901, 3층 (갈현동)",37.62347398,126.919571,병원,치과의원
김기환치과의원,"서울특별시 서초구 신반포로 31, 1동 301호 (반포동, 반포아파트상가)",37.50176065,126.9880484,병원,치과의원
김한욱치과의원,"서울특별시 금천구 남부순환로 1386, (독산동)",37.47973845,126.9047381,병원,치과의원
OK치과의원,"서울특별시 관악구 난곡로 53, 406호 (신림동, 관악산휴먼시아상가)",37.46022216,126.9193266,병원,치과의원
노원성모안과의원,서울특별시 노원구 동일로 1101 (공릉동),37.62825426,127.0710099,병원,의원
김진수한의원,서울특별시 강북구 삼양로139나길 17-7 (수유동),37.64837773,127.0117303,병원,한의원
OLE(올래)성형외과의원,"서울특별시 강남구 압구정로30길 23, 6층 604호 (신사동)",37.52589142,127.0294942,병원,의원
SC제일산부인과의원,서울특별시 광진구 광나루로 506 (구의동),37.54471701,127.0856649,병원,의원
김선태내과의원,서울특별시 서초구 동작대로 120 (방배동),37.48725017,126.9827093,병원,의원
나무의원,"서울특별시 송파구 마천로 29, 5층 (방이동)",37.50953106,127.1242425,병원,의원
김정일안과의원,"서울특별시 은평구 서오릉로 138, 3층 (대조동)",37.6111822,126.9178066,병원,의원
남구로호담치과의원,"서울특별시 구로구 구로동로26길 36, 201호 (구로동)",37.49004435,126.8860037,병원,치과의원
김미경소아과의원,"서울특별시 은평구 진흥로 150, 2층 (녹번동)",37.60864363,126.9266432,병원,의원
누가이비인후과의원,"서울특별시 성북구 오패산로 69, 4층 (하월곡동)",37.60820314,127.0360261,병원,의원
SJ서울삼정치과의원,"서울특별시 강남구 봉은사로 205 (논현동, 상하빌딩 2층)",37.50776593,127.034472,병원,치과의원
SKY(스카이)치과의원,"서울특별시 강남구 테헤란로26길 10, 성보빌딩 3층 (역삼동)",37.49963476,127.0358388,병원,치과의원
강남푸른안과의원,"서울특별시 강남구 강남대로 372, FINE TOWER 7층 (역삼동)",37.49603503,127.0290704,병원,의원
SKY서울가정의학과의원,"서울특별시 성북구 성북로4길 52, 417동 2층 1211호 (돈암동)",37.59447253,127.012706,병원,의원
SK우리들정형외과의원,"서울특별시 강북구 솔샘로 184, 210호 (미아동, SK북한산시티아파트상가 )",37.61995872,127.0128511,병원,의원
SNU하안과의원,"서울특별시 노원구 화랑로 337, 4층 (월계동)",37.61523935,127.0651692,병원,의원
S다인치과의원,"서울특별시 강북구 도봉로 320 (번동, 제이제이타워)",37.63653051,127.0245732,병원,치과의원
S아이니의원,"서울특별시 구로구 도림로 90, 혜성빌딩 5층 (구로동)",37.49038024,126.8934282,병원,의원
The원치과의원,"서울특별시 송파구 마천로 74, 2층 (오금동, 남성빌딩)",37.50745212,127.1284162,병원,치과의원
김영수한의원,"서울특별시 중랑구 동일로 932, 202동 214호 (묵동, 묵동자이프라자)",37.61357271,127.0775194,병원,한의원
닥터김마취통증의학과의원?한의원,"서울특별시 동대문구 이문로 136, 2층 F2-3,F2-4호 (이문동, 이문동 웰츠타워)",37.59849172,127.0618858,병원,의원
닥터김마취통증의학과의원?한의원,"서울특별시 동대문구 이문로 136, 2층 F2-3,F2-4호 (이문동, 이문동 웰츠타워)",37.59847984,127.0618735,병원,한의원
김치과의원,서울특별시 강동구 천호대로187길 53 (길동),37.53660865,127.1427662,병원,치과의원
UC성심치과의원,"서울특별시 중랑구 용마산로 503, 5층 (망우동)",37.59611136,127.0999204,병원,치과의원
강남담온한의원,"서울특별시 서초구 나루터로 37, 205호 (잠원동)",37.51544279,127.0141936,병원,한의원
